,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
33,34,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
34,35,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
35,36,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
36,37,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
37,38,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
38,39,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
39,40,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
40,41,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
41,42,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
42,43,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
43,44,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
44,45,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
45,46,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
46,47,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
47,48,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
48,49,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
49,50,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
50,51,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
51,52,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
52,53,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
53,54,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
54,55,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
55,56,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
56,57,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
57,58,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
58,59,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
59,60,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
60,61,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
61,62,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
62,63,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
63,64,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
64,65,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
65,66,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
66,67,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
67,68,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
68,69,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
69,70,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
70,71,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
71,72,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
72,73,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
73,74,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
74,75,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
75,76,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
76,77,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
77,78,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
78,79,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
79,80,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
80,81,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
81,82,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
82,83,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
83,84,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
84,85,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
85,86,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
86,87,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
87,88,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
88,89,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
89,90,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
90,91,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
91,92,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
92,93,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
93,94,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
94,95,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
95,96,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
96,97,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
97,98,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
98,99,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
99,100,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
100,101,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
101,102,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
102,103,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
103,104,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
104,105,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
105,106,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
106,107,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
107,108,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
108,109,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
109,110,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
110,111,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
111,112,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
112,113,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
113,114,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
114,115,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
115,116,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
116,117,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
117,118,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
118,119,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
119,120,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
120,121,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
121,122,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
122,123,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
123,124,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
124,125,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
125,126,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
126,127,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
127,128,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
128,129,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
129,130,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
130,131,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
131,132,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
132,133,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
133,134,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
134,135,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
135,136,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
136,137,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
137,138,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
138,139,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
139,140,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
140,141,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
141,142,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
142,143,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
143,144,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
144,145,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
145,146,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
146,147,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
147,148,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
148,149,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
149,150,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
150,151,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
151,152,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
152,153,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
153,154,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
154,155,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
155,156,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
156,157,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
157,158,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
158,159,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
159,160,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
160,161,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
161,162,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
162,163,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
163,164,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
164,165,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
165,166,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
166,167,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
167,168,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
168,169,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
169,170,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
170,171,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
171,172,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
172,173,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
173,174,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
174,175,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
175,176,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
176,177,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
177,178,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
178,179,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
179,180,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
180,181,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
181,182,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
182,183,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
183,184,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
184,185,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
185,186,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
186,187,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
187,188,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
188,189,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
189,190,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
190,191,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
191,192,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
192,193,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
193,194,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
194,195,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
195,196,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
196,197,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
197,198,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
198,199,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
199,200,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
200,201,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
201,202,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
202,203,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
203,204,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
204,205,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
205,206,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
206,207,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
207,208,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
208,209,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
209,210,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
210,211,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
211,212,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
212,213,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
213,214,911377,0,0,0,0,0,0,0,0.0,0,0,0,0,0
