,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
33,34,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
34,35,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
35,36,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
36,37,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
37,38,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
38,39,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
39,40,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
40,41,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
41,42,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
42,43,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
43,44,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
44,45,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
45,46,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
46,47,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
47,48,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
48,49,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
49,50,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
50,51,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
51,52,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
52,53,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
53,54,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
54,55,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
55,56,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
56,57,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
57,58,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
58,59,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
59,60,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
60,61,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
61,62,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
62,63,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
63,64,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
64,65,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
65,66,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
66,67,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
67,68,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
68,69,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
69,70,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
70,71,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
71,72,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
72,73,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
73,74,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
74,75,150111,0,0,0,0,0,0,0,0.0,0,0,0,0,0
