,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
33,34,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
34,35,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
35,36,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
36,37,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
37,38,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
38,39,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
39,40,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
40,41,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
41,42,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
42,43,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
43,44,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
44,45,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
45,46,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
46,47,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
47,48,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
48,49,138546,0,0,0,0,0,0,0,0.0,0,0,0,0,0
