,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,340790,0,0,0,0,0,0,0,0.0,0,0,0,0,0
