,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
33,34,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
34,35,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
35,36,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
36,37,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
37,38,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
38,39,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
39,40,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
40,41,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
41,42,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
42,43,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
43,44,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
44,45,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
45,46,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
46,47,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
47,48,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
48,49,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
49,50,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
50,51,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
51,52,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
52,53,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
53,54,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
54,55,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
55,56,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
56,57,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
57,58,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
58,59,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
59,60,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
60,61,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
61,62,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
62,63,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
63,64,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
64,65,693914,0,0,0,0,0,0,0,0.0,0,0,0,0,0
