,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,543970,0,0,0,0,0,0,0,0.0,0,0,0,0,0
