,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
33,34,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
34,35,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
35,36,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
36,37,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
37,38,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
38,39,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
39,40,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
40,41,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
41,42,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
42,43,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
43,44,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
44,45,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
45,46,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
46,47,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
47,48,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
48,49,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
49,50,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
50,51,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
51,52,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
52,53,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
53,54,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
54,55,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
55,56,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
56,57,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
57,58,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
58,59,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
59,60,385995,0,0,0,0,0,0,0,0.0,0,0,0,0,0
