,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,208683,0,0,0,0,0,0,0,0.0,0,0,0,0,0
