,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,2,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
2,3,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3,4,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4,5,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
5,6,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
6,7,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
7,8,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
8,9,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
9,10,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
10,11,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
11,12,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
12,13,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
13,14,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
14,15,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
15,16,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
16,17,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
17,18,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
18,19,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
19,20,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
20,21,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
21,22,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
22,23,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23,24,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
24,25,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
25,26,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
26,27,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
27,28,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
28,29,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
29,30,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
30,31,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
31,32,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
32,33,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
33,34,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
34,35,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
35,36,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
36,37,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
37,38,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
38,39,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
39,40,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
40,41,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
41,42,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
42,43,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
43,44,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
44,45,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
45,46,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
46,47,861674,0,0,0,0,0,0,0,0.0,0,0,0,0,0
